L1,L2,L3,AIC,MAE,RMSE,R2,TTP
200,256,256,-32095.2385,0.201651503,0.309040565,0.60736877,13107206
144,128,128,-32093.17315,0.201605181,0.30906391,0.607309449,2359302
144,192,128,-32080.75991,0.201343372,0.309204256,0.606952725,3538950
144,192,0,-32389.7922,0.203443695,0.305729158,0.615737871,6
144,192,0,-31691.0233,0.20022973,0.313643258,0.595586378,6
32,192,128,-32077.9244,0.201108114,0.309236324,0.606871194,786438
256,192,64,-32077.80778,0.200937624,0.309237643,0.606867841,3145734
32,192,192,-32077.43635,0.202055228,0.309241844,0.606857159,1179654
256,192,256,-32076.90535,0.20080762,0.30924785,0.606841889,12582918
144,128,256,-32072.46451,0.200198753,0.309298081,0.606714156,4718598
200,192,128,-32066.69636,0.200369926,0.309363339,0.606548183,4915206
256,256,64,-32065.63437,0.200569841,0.309375355,0.606517618,4194310
88,64,64,-32064.72451,0.200897002,0.30938565,0.606491429,360454
144,256,0,-32184.62471,0.201212147,0.308031902,0.609927568,6
144,256,0,-32302.94912,0.201531809,0.306701752,0.613289131,6
144,64,256,-32062.18255,0.202156141,0.309414415,0.606418254,2359302
88,256,192,-32060.14858,0.201156911,0.309437433,0.606359693,4325382
144,256,256,-32059.41459,0.200627861,0.30944574,0.606338558,9437190
200,128,192,-32058.70761,0.200218723,0.309453741,0.6063182,4915206
32,256,256,-32057.65573,0.200432198,0.309465646,0.606287908,2097158
88,256,192,-32057.24852,0.20047188,0.309470255,0.60627618,4325382
144,128,256,-32056.67603,0.201369225,0.309476735,0.606259692,4718598
32,256,64,-32050.21931,0.200391393,0.309549826,0.606073688,524294
200,0,0,-31973.83569,0.202913519,0.310415805,0.603866553,6
200,0,0,-32172.74896,0.200603901,0.308165722,0.609588572,6
200,0,64,-32191.08155,0.201294637,0.307959168,0.610111757,6
200,0,64,-32086.54613,0.200875578,0.309138828,0.607119046,6
200,0,128,-32259.764,0.201369043,0.307186553,0.612065625,6
200,0,128,-32202.13624,0.201815914,0.307834682,0.610426902,6
200,0,192,-31888.5851,0.200436716,0.311385171,0.601388598,6
200,0,192,-32190.70395,0.202389574,0.307963421,0.610100988,6
200,0,256,-32037.3186,0.20114981,0.309695914,0.605701781,6
200,0,256,-32134.42337,0.20183003,0.308597984,0.608492548,6
200,64,0,-32265.11905,0.201847016,0.307126395,0.612217552,6
200,64,0,-32093.03243,0.201171432,0.3090655,0.607305407,6
32,64,128,-32044.06452,0.20075518,0.309619514,0.605896299,262150
88,128,128,-32043.91824,0.200680567,0.309621171,0.605892082,1441798
144,64,64,-32042.9583,0.200256749,0.309632042,0.605864408,589830
256,256,192,-32041.58819,0.200826705,0.309647557,0.605824906,12582918
200,128,256,-32040.89976,0.20170744,0.309655354,0.605805055,6553606
200,192,192,-32039.24015,0.201266804,0.30967415,0.605757199,7372806
144,64,192,-32038.15917,0.200080063,0.309686394,0.605726024,1769478
256,64,192,-32031.47108,0.200853385,0.309762155,0.605533092,3145734
200,128,0,-32065.33036,0.200685469,0.309378795,0.606508868,6
200,128,0,-32078.81754,0.201580097,0.309226223,0.606896877,6
144,128,192,-32030.7948,0.201139561,0.309769817,0.605513577,3538950
144,256,128,-32030.68195,0.201751997,0.309771095,0.605510321,4718598
256,256,128,-32018.66136,0.201389904,0.309907312,0.605163303,8388614
88,64,256,-32010.01525,0.200495539,0.310005327,0.604913513,1441798
144,192,256,-32009.90462,0.20025998,0.310006581,0.604910316,7077894
32,256,128,-32007.65741,0.200575827,0.310032061,0.604845366,1048582
256,256,256,-32007.46235,0.201484635,0.310034273,0.604839728,16777222
144,192,64,-32007.24313,0.200737822,0.310036759,0.604833391,1769478
200,192,0,-32234.26796,0.201003293,0.307473134,0.611341463,6
200,192,0,-32247.96638,0.201494868,0.307319128,0.611730706,6
200,192,256,-32004.78557,0.200803817,0.310064627,0.604762348,9830406
256,64,64,-32002.87187,0.200326624,0.31008633,0.604707018,1048582
88,192,128,-32002.24924,0.201545779,0.310093391,0.604689015,2162694
88,192,256,-32001.77235,0.201293724,0.3100988,0.604675224,4325382
88,64,64,-31999.71612,0.20076808,0.310122121,0.60461576,360454
200,256,64,-31997.16293,0.202295499,0.310151082,0.604541911,3276806
256,128,64,-31995.09857,0.199836819,0.310174499,0.604482191,2097158
200,128,64,-31991.49355,0.199830243,0.310215398,0.60437788,1638406
200,256,0,-31983.32326,0.201005594,0.31030811,0.604141371,6
200,256,0,-31979.6749,0.20117351,0.310349519,0.604035715,6
256,192,64,-31988.6931,0.201068047,0.310247173,0.60429683,3145734
32,64,128,-31982.27151,0.201623137,0.310320047,0.604110916,262150
256,256,192,-31982.19611,0.200644526,0.310320903,0.604108732,12582918
32,192,192,-31979.85406,0.200896437,0.310347485,0.604040904,1179654
200,192,192,-31978.75681,0.200341323,0.31035994,0.604009123,7372806
88,256,128,-31966.29339,0.200779281,0.310501445,0.603647946,2883590
256,128,128,-31960.32117,0.201257453,0.310569274,0.60347476,4194310
88,192,192,-31958.77671,0.200949692,0.310586817,0.603429961,3244038
256,0,0,-32128.35174,0.201397102,0.30866652,0.608318632,6
256,0,0,-32185.50561,0.200793163,0.308021978,0.609952702,6
